"year","pinks","pinks_2","pinks_3","pinks_4","chum","chum_2","chum_3","chum_4","NPGO","NPGO_1","NPGO_2","NPGO_3","NPGO_4","mst","mst_2","SST_2","SST_3","SST_4","SST","SST_cst","SST_cst_2","SST_cst_3","SST_cst_4","av_CFS_min","av_CFS_max","av_CFS_min_1","av_CFS_max_1","seals","seals_3","seals_4"
2011,653.76,577.82,355.85,549.42,123.9,146.61,144.19,157.21,0.7896,1.4227,0.3632,-0.1964,-1.3807,90,96,10.6939,10.9361,9.8969,11.4588,14.46,14.83,14.67,15.52,0.79,-1.1787,-0.4762,-1.1031,NA,21267,NA
2012,435.57,355.85,549.42,432,136.25,144.19,157.21,150,1.4227,0.3632,-0.1964,-1.3807,-0.1603,114,94,11.5596,10.4382,10.6844,10.6281,14.15,14.67,15.52,14.9,-0.4762,-1.1031,0.9893,-0.8101,NA,NA,NA
2013,577.82,549.42,432,513,146.61,157.21,150,123,0.3632,-0.1964,-1.3807,-0.1603,-0.8591,96,46,11.2802,10.7366,10.4928,11.4536,14.83,15.52,14.9,14.59,0.9893,-0.8101,-0.5757,-0.3044,NA,NA,NA
2014,355.85,432,513,701,144.19,150,123,140,-0.1964,-1.3807,-0.1603,-0.8591,-1.9643,94,81,11.4773,10.1717,10.3759,11.3232,14.67,14.9,14.59,15.1,-0.5757,-0.3044,-0.9889,0.3947,21267,NA,NA
2015,549.42,513,701,639,157.21,123,140,111,-1.3807,-0.1603,-0.8591,-1.9643,-2.2791,46,115,10.5674,9.9778,10.7001,10.9474,15.52,14.59,15.1,15.23,-0.9889,0.3947,-0.6653,-0.7725,NA,NA,NA
2016,432,701,639,313,150,140,111,92,-0.1603,-0.8591,-1.9643,-2.2791,-1.8429,81,105,10.3099,11.1853,10.7421,11.2439,14.9,15.1,15.23,14.72,-0.6653,-0.7725,-0.7926,0.1145,NA,NA,NA
2017,513,639,313,797,123,111,92,NA,-0.8591,-1.9643,-2.2791,-1.8429,-0.9126,115,102,11.9921,10.965,10.8209,10.8267,14.59,15.23,14.72,14.86,-0.7926,0.1145,-1.1903,-0.4469,NA,NA,NA
2018,701,313,797,299,140,92,NA,NA,-1.9643,-2.2791,-1.8429,-0.9126,-1.2621,105,34,11.4375,10.1603,11.8138,10.8392,15.1,14.72,14.86,NA,-1.1903,-0.4469,-0.4258,0.2578,NA,NA,27280
2019,639,797,299,NA,111,NA,NA,NA,-2.2791,-1.8429,-0.9126,-1.2621,-1.7246,102,79,10.4067,11.5183,11.1928,11.5799,15.23,14.86,NA,NA,-0.4258,0.2578,0.1069,-0.5273,NA,27280,NA
2020,313,299,NA,NA,92,NA,NA,NA,-1.8429,-0.9126,-1.2621,-1.7246,NA,34,118,11.4061,10.5245,NA,11.6942,14.72,NA,NA,NA,0.1069,-0.5273,-1.0854,1.1304,NA,NA,NA
2021,797,NA,NA,NA,NA,NA,NA,NA,-0.9126,-1.2621,-1.7246,NA,NA,79,114,10.5026,NA,NA,11.0047,14.86,NA,NA,NA,-1.0854,1.1304,-1.3298,-0.8206,NA,NA,NA
2022,299,NA,NA,NA,NA,NA,NA,NA,-1.2621,-1.7246,NA,NA,NA,118,NA,NA,NA,NA,12.6602,NA,NA,NA,NA,-1.3298,-0.8206,NA,NA,27280,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,-1.7246,NA,NA,NA,NA,114,NA,NA,NA,NA,11.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
